ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
295	German	I	42	???ɪx	ɪ x	7 3	XN	IG	4	4.I.V 4.G.c	1.5 0.8	0	2
296	English	I	42	aɪ	a ɪ	7 7	XZ	AI	3	3.A.V 3.I.V	1.5 0.8	0	3
297	Danish	I	42	jɑj	j ɑ j	6 7 6	AXN	JAJ	1	1.J.C 1.A.V 1.J.c	2.0 1.5 0.8	0	1
298	Swedish	I	42	jaːg	j aː g	6 7 1	AXN	JAK	7	7.J.C 7.A.V 7.K.c	2.0 1.5 0.8	0	2
299	Icelandic	I	42	jɛɣ	j ɛ ɣ	6 7 3	AXN	JEG	5	5.J.C 5.E.V 5.G.c	2.0 1.5 0.8	0	2
300	Dutch	I	42	ɪk	ɪ k	7 1	XN	IK	2	2.I.V 2.K.c	1.5 0.8	0	2
301	Norwegian	I	42	jæj	j æ j	6 7 6	AXN	JEJ	6	6.J.C 6.E.V 6.J.c	2.0 1.5 0.8	0	1
1	German	all	1	al	a l	7 5	XN	AL	4	4.A.V 4.L.c	1.5 0.8	0	4
2	English	all	1	ɔːl,a:l	oː l	7 5	XN	UL	3	3.U.V 3.L.c	1.5 0.8	0	4
3	Danish	all	1	æˀl	æˀ l	7 5	XN	EL	1	1.E.V 1.L.c	1.5 0.8	0	4
4	Swedish	all	1	alː	a lː	7 5	XN	AL	7	7.A.V 7.L.c	1.5 0.8	0	4
5	Icelandic	all	1	at͡lir	a t͡l i r	7 1 7 5	XBYN	ATIR	5	5.A.V 5.T.C 5.I.V 5.R.c	1.5 1.75 1.3 0.8	0	8
6	Dutch	all	1	ɑlə	ɑ l ə	7 5 7	XBZ	ALE	2	2.A.V 2.L.C 2.E.V	1.5 1.75 0.8	0	4
7	Norwegian	all	1	ɑlə	ɑ l ə	7 5 7	XBZ	ALE	6	6.A.V 6.L.C 6.E.V	1.5 1.75 0.8	0	4
8	German	ashes	2	aʃə	a ʃ ə	7 3 7	XBZ	ASE	4	4.A.V 4.S.C 4.E.V	1.5 1.75 0.8	0	9
9	English	ashes	2	æʃ	æ ʃ	7 3	XN	ES	3	3.E.V 3.S.c	1.5 0.8	0	9
10	Danish	ashes	2	asg	a s g	7 3 1	XLN	ASK	1	1.A.V 1.S.c 1.K.c	1.5 1.1 0.8	0	9
11	Swedish	ashes	2	asːka	a sː k a	7 3 1 7	XMBZ	ASKA	7	7.A.V 7.S.c 7.K.C 7.A.V	1.5 1.1 1.75 0.8	0	9
12	Icelandic	ashes	2	aska	a s k a	7 3 1 7	XMBZ	ASKA	5	5.A.V 5.S.c 5.K.C 5.A.V	1.5 1.1 1.75 0.8	0	9
13	Dutch	ashes	2	ɑs	ɑ s	7 3	XN	AS	2	2.A.V 2.S.c	1.5 0.8	0	9
14	Norwegian	ashes	2	ɑsk	ɑ s k	7 3 1	XLN	ASK	6	6.A.V 6.S.c 6.K.c	1.5 1.1 0.8	0	9
# Created using the LexStat class of LingPy-2.5
# Cluster: sca_upgma_0.45
